Entity,Code,Year,Paid Bribe: Education System - gcb_bed
Afghanistan,AFG,2010,21.7877095
Afghanistan,AFG,2013,22.60198456
Albania,ALB,2006,12.40601504
Albania,ALB,2007,14.99051233
Algeria,DZA,2013,18.61861862
Argentina,ARG,2006,1.026694045
Argentina,ARG,2007,0.279329609
Argentina,ARG,2009,0
Argentina,ARG,2010,0.537634409
Argentina,ARG,2013,2.030456853
Armenia,ARM,2009,23.76502003
Armenia,ARM,2010,12.44239631
Armenia,ARM,2013,11.64658635
Australia,AUS,2010,1.657458564
Australia,AUS,2013,1.133144476
Austria,AUT,2006,1.648351648
Austria,AUT,2007,0.751879699
Austria,AUT,2009,1.526717557
Austria,AUT,2010,3.389830508
Azerbaijan,AZE,2009,38.61386139
Azerbaijan,AZE,2010,30.18480493
Bangladesh,BGD,2010,30.23255814
Bangladesh,BGD,2013,12.18553459
Belarus,BLR,2009,2.947845805
Belarus,BLR,2010,13.82113821
Belgium,BEL,2013,2.046035806
Bolivia,BOL,2006,17.22772277
Bolivia,BOL,2007,13.3611691
Bolivia,BOL,2009,16.07142857
Bolivia,BOL,2010,13.0952381
Bolivia,BOL,2013,10.43613707
Bosnia and Herzegovina,BIH,2007,0.966183575
Bosnia and Herzegovina,BIH,2009,1.895734597
Bosnia and Herzegovina,BIH,2010,9.2760181
Bosnia and Herzegovina,BIH,2013,8.192771084
Brazil,BRA,2010,0.464037123
Brunei,BRN,2009,2.769230769
Bulgaria,BGR,2006,3.673469388
Bulgaria,BGR,2007,1.872659176
Bulgaria,BGR,2009,2.192982456
Bulgaria,BGR,2010,2.430555556
Bulgaria,BGR,2013,2.247191011
Burundi,BDI,2011,39.91935484
Cambodia,KHM,2009,28.49807445
Cambodia,KHM,2010,68.57638889
Cambodia,KHM,2013,29.8245614
Cameroon,CMR,2006,46.21848739
Cameroon,CMR,2007,52.98913043
Cameroon,CMR,2009,31.73333333
Cameroon,CMR,2010,34.80138169
Cameroon,CMR,2013,35.15151515
Canada,CAN,2006,1.851851852
Canada,CAN,2007,0.445434298
Canada,CAN,2009,1.125401929
Canada,CAN,2010,1.566579634
Canada,CAN,2013,2.88184438
Chile,CHL,2006,2.02020202
Chile,CHL,2009,1.109057301
Chile,CHL,2010,7.484076433
Chile,CHL,2013,4.859813084
China,CHN,2010,3.741007194
Colombia,COL,2006,1.818181818
Colombia,COL,2007,23.07692308
Colombia,COL,2009,1.257861635
Colombia,COL,2010,5.816135084
Colombia,COL,2013,5.922165821
Congo,COG,2006,30.02421308
"Congo, Democratic Republic",,2011,54.20944559
"Congo, Democratic Republic",,2013,50.49309665
Croatia,HRV,2006,2.194357367
Croatia,HRV,2007,0.913242009
Croatia,HRV,2009,2.333333333
Croatia,HRV,2010,1.413427562
Croatia,HRV,2013,0.343642612
Cyprus,CYP,2013,3.768844221
Czechia,CZE,2006,3.102625298
Czechia,CZE,2007,2.339181287
Czechia,CZE,2009,2.564102564
Czechia,CZE,2010,3.040540541
Czechia,CZE,2013,4.109589041
Denmark,DNK,2006,2.564102564
Denmark,DNK,2007,0.783289817
Denmark,DNK,2009,0.793650794
Denmark,DNK,2010,0.292397661
Denmark,DNK,2013,1.063829787
Dominican Republic,DOM,2006,10.54131054
Dominican Republic,DOM,2007,5.835543767
Egypt,EGY,2013,25.38461538
El Salvador,SLV,2009,1.644736842
El Salvador,SLV,2010,2.481389578
El Salvador,SLV,2013,2.915951973
Estonia,EST,2013,2.252252252
Ethiopia,ETH,2011,11.93181818
Ethiopia,ETH,2013,24.84177215
Fiji,FJI,2006,0.887573964
Fiji,FJI,2010,6.887052342
Finland,FIN,2006,1.272727273
Finland,FIN,2007,2.054794521
Finland,FIN,2009,2.222222222
Finland,FIN,2010,1.33037694
Finland,FIN,2013,0.606060606
France,FRA,2006,1.15942029
France,FRA,2007,0
France,FRA,2010,2.255639098
Gabon,GAB,2006,39.35742972
Georgia,GEO,2009,1.442307692
Georgia,GEO,2010,0.896860987
Georgia,GEO,2013,1.732673267
Germany,DEU,2006,1.687763713
Germany,DEU,2010,1.242236025
Ghana,GHA,2009,20.1793722
Ghana,GHA,2010,19.15285451
Ghana,GHA,2013,36.98959167
Greece,GRC,2006,3.464203233
Greece,GRC,2007,1.869158879
Greece,GRC,2009,3.111111111
Greece,GRC,2010,1.13960114
Greece,GRC,2013,6.822262118
Hungary,HUN,2009,0.869565217
Hungary,HUN,2010,3.241895262
Hungary,HUN,2013,0.94637224
Iceland,ISL,2006,0.644122383
Iceland,ISL,2007,0
Iceland,ISL,2009,0.149476831
Iceland,ISL,2010,1.682692308
India,IND,2006,10
India,IND,2007,13.71308017
India,IND,2009,6.451612903
India,IND,2010,22.82157676
India,IND,2013,47.98927614
Indonesia,IDN,2006,3.908794788
Indonesia,IDN,2007,4.896907216
Indonesia,IDN,2009,7.983193277
Indonesia,IDN,2010,2.601626016
Indonesia,IDN,2013,25.78947368
Iraq,IRQ,2009,21.96796339
Iraq,IRQ,2010,31.38500635
Iraq,IRQ,2013,11.82364729
Ireland,IRL,2007,2.298850575
Ireland,IRL,2010,2.097902098
Israel,ISR,2006,1.724137931
Israel,ISR,2009,0.46728972
Israel,ISR,2010,1.985559567
Israel,ISR,2013,1.929824561
Italy,ITA,2010,5.960264901
Italy,ITA,2013,3.448275862
Jamaica,JAM,2013,2.51450677
Japan,JPN,2006,4.90797546
Japan,JPN,2007,0
Japan,JPN,2009,0.847457627
Japan,JPN,2010,2.298850575
Japan,JPN,2013,0
Jordan,JOR,2013,34.68085106
Kazakhstan,KAZ,2013,30.98901099
Kenya,KEN,2006,7.183364839
Kenya,KEN,2009,9.523809524
Kenya,KEN,2010,16.89655172
Kenya,KEN,2013,22.7014756
"Korea, South",,2006,4.814004376
"Korea, South",,2007,2.433090024
"Korea, South",,2009,1.604278075
"Korea, South",,2010,5.761316872
"Korea, South",,2013,6.551724138
Kuwait,KWT,2009,2.068965517
Kyrgyzstan,KGZ,2013,47.45098039
Latvia,LVA,2010,6.084656085
Latvia,LVA,2013,7.602339181
Lebanon,LBN,2009,5.399061033
Lebanon,LBN,2010,10.92150171
Liberia,LBR,2009,64.91017964
Liberia,LBR,2010,75.68710359
Liberia,LBR,2013,73.03225806
Libya,LBY,2013,36.47912886
Lithuania,LTU,2007,2.58302583
Lithuania,LTU,2009,2.356902357
Lithuania,LTU,2010,9.77443609
Lithuania,LTU,2013,6.282722513
Luxembourg,LUX,2006,6.642066421
Luxembourg,LUX,2007,0.387596899
Luxembourg,LUX,2009,3.47826087
Luxembourg,LUX,2010,6.315789474
Madagascar,MDG,2013,16.76300578
Malawi,MWI,2011,24.94004796
Malaysia,MYS,2006,1.181102362
Malaysia,MYS,2007,1.973684211
Malaysia,MYS,2009,1.74291939
Malaysia,MYS,2010,1.863354037
Malaysia,MYS,2013,2.898550725
Maldives,MDV,2011,3.676470588
Maldives,MDV,2013,2.807017544
Mexico,MEX,2006,7.032967033
Mexico,MEX,2010,9.977827051
Mexico,MEX,2013,15.06024096
Moldova,MDA,2006,24.08256881
Moldova,MDA,2007,29.54545455
Moldova,MDA,2009,18.90410959
Moldova,MDA,2010,23.92776524
Moldova,MDA,2013,35.42319749
Mongolia,MNG,2009,25.47770701
Mongolia,MNG,2010,30.11695906
